epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8763958,0.2956544393543154,0.001,0.8766875,0.29121900010388346
1,0.9162013,0.21180713501453996,0.001,0.8471875,0.3775353400921449
2,0.92301524,0.1978571018397771,0.001,0.935125,0.16946212493279017
3,0.9291832,0.180818709702846,0.001,0.922,0.19806887790351174
4,0.935747,0.16737627532115004,0.001,0.703,1.1198118461122504
5,0.9397708,0.15683791623450816,0.001,0.9461875,0.1426030606920831
6,0.9437695,0.14917768044278854,0.001,0.7696875,0.6931590413707308
7,0.94587415,0.1445465683390583,0.001,0.9415,0.15864415027259382
8,0.94766617,0.13836038768987005,0.001,0.9564375,0.12119327257631812
9,0.94848925,0.13614978697671043,0.001,0.957,0.11175284179512528
10,0.9519275,0.13024359687978052,0.001,0.951875,0.1215574295874685
11,0.94705147,0.14052163442846363,0.001,0.8925,0.2801084683997615
12,0.9526047,0.12618793617886637,0.001,0.9394375,0.16862905554118332
13,0.95517707,0.12113637915657212,0.001,0.93575,0.17044805771371466
14,0.95601165,0.11634482130638062,0.001,0.823,0.5887937110120547
15,0.95418835,0.12153271510199591,0.001,0.9229375,0.21841298284940422
16,0.9624818,0.10033493063285105,0.00020000001,0.961625,0.09692555992148118
17,0.96562827,0.09541209304868666,0.00020000001,0.9631875,0.09182288821644762
18,0.9655449,0.09368426875393915,0.00020000001,0.9628125,0.09480149617581628
19,0.9677537,0.08966853180591651,0.00020000001,0.9668125,0.08793554653789033
20,0.9671286,0.09007343690680152,0.00020000001,0.9675625,0.08290042664911015
21,0.9675349,0.08862322721231335,0.00020000001,0.9678125,0.08755660992402409
22,0.96837884,0.08606434311724735,0.00020000001,0.962875,0.09455175486672669
23,0.9687435,0.08543639251664219,0.00020000001,0.9648125,0.08844855775652104
24,0.9698375,0.08483905059377254,0.00020000001,0.9681875,0.08266522535710828
25,0.96854556,0.08601926195051557,0.00020000001,0.9701875,0.08199622247480147
26,0.97088975,0.08182716756782747,0.00020000001,0.9688125,0.0813438930613338
27,0.97100437,0.08061760743287381,0.00020000001,0.966125,0.0872863237625861
28,0.9706918,0.08085220027769306,0.00020000001,0.9645,0.0923356686821935
29,0.9724005,0.07738315987940796,0.00020000001,0.9589375,0.10572795601439429
30,0.9717441,0.07720947162958282,0.00020000001,0.9614375,0.09639032864331966
31,0.9725047,0.0780162537950191,0.00020000001,0.9665,0.08823107502740458
32,0.9721921,0.07660743819953725,0.00020000001,0.9691875,0.07877229381479264
33,0.97292143,0.07483394821767314,0.00020000001,0.9713125,0.0738477558602317
34,0.9724375,0.07499049849437628,0.00020000001,0.96625,0.0894335023333042
35,0.9729944,0.07658917850964772,0.00020000001,0.9573125,0.11306937326837214
36,0.9741717,0.0722033939732052,0.00020000001,0.9766875,0.06748580553442297
37,0.974255,0.07160325398960522,0.00020000001,0.9680625,0.08240286045383255
38,0.9750052,0.06976306960696968,0.00020000001,0.970125,0.07849908360359405
39,0.974328,0.07105044608553016,0.00020000001,0.9695,0.08228980880670134
40,0.97498435,0.06963691420839165,0.00020000001,0.9683125,0.08698664035984256
41,0.97469264,0.06924232966708073,0.00020000001,0.9679375,0.08961208920312493
42,0.9747864,0.07032232348674997,0.00020000001,0.9666875,0.08843533521122299
43,0.97635967,0.06649853904372743,4.0000003e-05,0.9691875,0.0818190966723123
44,0.97772455,0.0626116127465258,4.0000003e-05,0.97125,0.0771083657650015
45,0.97790164,0.06395161882959652,4.0000003e-05,0.9699375,0.07934486528803973
46,0.97745365,0.06387135764736482,4.0000003e-05,0.9713125,0.07662626395432744
47,0.9773599,0.06447910604163791,4.0000003e-05,0.9725,0.07533558216088204
48,0.977537,0.06313153960963097,4.0000003e-05,0.9711875,0.08011406686335977
49,0.97856843,0.061730813002369087,8.000001e-06,0.9734375,0.07544791013672511
50,0.9774167,0.06332953661871336,8.000001e-06,0.9711875,0.07697923630902369
51,0.97844344,0.06166508528965759,8.000001e-06,0.9710625,0.07540085591137176
52,0.9787247,0.05982320419569744,8.000001e-06,0.97275,0.0734049656736097
53,0.978558,0.06176665990183933,8.000001e-06,0.9710625,0.07462032438217284
54,0.9780371,0.06232406035435153,8.000001e-06,0.9718125,0.07749401326463703
55,0.97786,0.06177184849536575,1.6000001e-06,0.971875,0.07533563665143447
56,0.9785372,0.06106274482872897,1.6000001e-06,0.9721875,0.07420050520337827
57,0.9782038,0.06050881581986643,1.6000001e-06,0.972125,0.07671714175178386
58,0.97764117,0.06170594485400539,1.6000001e-06,0.9724375,0.07380392774676148
